F_BUS,T_BUS,BR_R,BR_X,BR_B,RATE_A,RATE_B,RATE_C,TAP,SHIFT,BR_STATUS,ANGMIN,ANGMAX,PF,QF,PT,QT,MU_SF,MU_ST,MU_ANGMIN,MU_ANGMAX
11001,11004,0.010115,0.270509,0,110.37,0,0,1,0,1,0,0,4.77,-8.05,-4.76,8.28,0,0,0,0
11001,11005,0.000215,0.001126,0,0,0,0,0,0,1,0,0,53.23,12.59,-53.22,-12.56,0,0,0,0
11001,11006,0.000217,0.001008,0,0,0,0,0,0,1,0,0,-58,-4.54,58.01,4.58,0,0,0,0
11002,11004,-0.004531,-0.121176,0,60.37,0,0,1,0,1,0,0,-4.77,8.18,4.76,-8.28,0,0,0,0
11002,11454,0.050114,0.11071,0.01573,52.48,0,0,0,0,1,0,0,-10.68,-4.04,10.74,2.52,0,0,0,0
19072,11002,0.071823,0.15758,0.00617,53.14,0,0,0,0,1,0,0,-15.28,3.88,15.45,-4.14,0,0,0,0
11003,11004,0.02916,0.779851,0,50,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
11006,11039,0.010403,0.056167,0.02513,218.7,0,0,0,0,1,0,0,-58.01,-4.58,58.35,3.86,0,0,0,0
11007,11008,0.000223,0.001118,0,0,0,0,0,0,1,0,0,5.89,1.47,-5.89,-1.47,0,0,0,0
11007,11334,0.056116,0.124373,0.006,56.31,0,0,0,0,1,0,0,6.56,0.25,-6.54,-0.85,0,0,0,0
19212,11007,0.042489,0.099326,0.00552,61.22,0,0,0,0,1,0,0,12.52,1.26,-12.46,-1.72,0,0,0,0
11009,11010,0.000273,0.001168,0,0,0,0,0,0,1,0,0,-12.29,-2.77,12.29,2.77,0,0,0,0
11010,11305,0.059415,0.174267,0.00734,45.27,0,0,0,0,1,0,0,-4.34,-0.18,4.35,-0.57,0,0,0,0
11010,11334,0.037745,0.108973,0.00426,58.71,0,0,0,0,1,0,0,-7.95,-2.59,7.97,2.2,0,0,0,0
11011,11012,0.000231,0.001092,0,0,0,0,0,0,1,0,0,41.52,5.18,-41.52,-5.16,0,0,0,0
11011,11013,0.000205,0.001193,0,0,0,0,0,0,1,0,0,-41.52,20.24,41.52,-20.21,0,0,0,0
11011,11014,0.000253,0.001143,0,0,0,0,0,0,1,0,0,-0,0,0,-0,0,0,0,0
11011,11015,0.000249,0.001164,0,0,0,0,0,0,1,0,0,0,0,-0,-0,0,0,0,0
11013,11021,0.013892,0.03794,0.00151,47.34,0,0,0,0,1,0,0,2.78,-11.53,-2.76,11.42,0,0,0,0
11013,11054,0.028278,0.073529,0.00727,70.32,0,0,0,0,1,0,0,-35.08,23.65,35.56,-23.16,0,0,0,0
33230,11013,0.063132,0.165346,0.00369,53.61,0,0,0,0,1,0,0,9.32,-8.24,-9.23,8.09,0,0,0,0
11017,11016,0.003365,0.109641,0,93.3,0,0,1.04375,0,1,0,0,-47.6,-14.24,47.68,17,0,0,0,0
11016,11018,0.00026,0.001199,0,0,0,0,0,0,1,0,0,40.62,10.91,-40.61,-10.89,0,0,0,0
11053,11016,0.004374,0.027125,0.01133,214.87,0,0,0,0,1,0,0,-52.43,2.3,52.55,-2.71,0,0,0,0
