BUS_I,BUS_TYPE,PD,QD,GS,BS,BUS_AREA,VM,VA,BASE_KV,ZONE,VMAX,VMIN,LAM_P,LAM_Q,MU_VMAX,MU_VMIN
11001,1,0,0,0,0,11,1.0093286,-10.64429,138,1,1.1,0.9,26.86,0.26,0,0
11002,1,0,0,0,0,11,1.021,-11.065497,69,1,1.1,0.9,26.84,0.28,0,0
11003,1,0,0,0,0,11,1.0305105,-11.40026,18,1,1.1,0.9,26.82,0.29,0,0
11004,1,0,0,0,0,11,1.0305105,-11.40026,1,1,1.1,0.9,26.82,0.29,0,0
11005,1,53.22,12.56,0,0,11,1.0090749,-10.676469,138,1,1.1,0.9,26.86,0.26,0,0
11006,1,0,0,0,0,11,1.0094988,-10.611985,138,1,1.1,0.9,26.85,0.26,0,0
11007,1,0,0,0,0,11,1.041786,-12.380243,69,1,1.1,0.9,26.43,0.12,0,0
11008,1,5.89,1.47,0,0,11,1.0417576,-12.383547,69,1,1.1,0.9,26.43,0.12,0,0
11009,1,12.29,2.77,0,0,11,1.0321049,-13.218888,69,1,1.1,0.9,26.84,0.14,0,0
11010,1,0,0,0,0,11,1.0321688,-13.211572,69,1,1.1,0.9,26.83,0.14,0,0
11011,1,0,0,0,24,11,1.0290761,-14.224554,69,1,1.1,0.9,27.52,-0.01,0,0
11012,1,41.52,5.16,0,0,11,1.028928,-14.248439,69,1,1.1,0.9,27.53,-0,0,0
11013,1,0,0,0,0,11,1.0289243,-14.195507,69,1,1.1,0.9,27.52,-0,0,0
11014,1,0,0,0,0,11,1.0290761,-14.224554,69,1,1.1,0.9,27.52,-0.01,0,0
11015,1,0,0,0,0,11,1.0290761,-14.224554,69,1,1.1,0.9,27.52,-0.01,0,0
11016,1,0,0,0,0,11,1.0079849,-9.763669,138,1,1.1,0.9,26.64,0.28,0,0
11017,1,0,0,0,0,11,1.0325083,-12.736027,69,1,1.1,0.9,26.95,0.2,0,0
11018,1,40.61,10.89,0,0,11,1.0077504,-9.789545,138,1,1.1,0.9,26.65,0.29,0,0
11019,1,0,0,0,0,11,1.0187041,-9.78556,138,1,1.1,0.9,26.58,0.25,0,0
11020,1,43.08,31.77,0,0,11,1.0182263,-9.80962,138,1,1.1,0.9,26.58,0.25,0,0
11021,1,0,0,0,26,11,1.0327735,-14.338199,69,1,1.1,0.9,27.46,-0.02,0,0
11022,1,32.58,13.35,0,0,11,1.0325367,-14.355813,69,1,1.1,0.9,27.46,-0.02,0,0
11023,1,32.58,11.05,0,0,11,1.0208186,-13.279804,69,1,1.1,0.9,27.41,0.15,0,0
11024,1,0,0,0,0,11,1.0279093,-13.595502,69,1,1.1,0.9,27.24,0.19,0,0
11025,1,0,0,0,0,11,1.028069,-13.570138,69,1,1.1,0.9,27.24,0.19,0,0
11026,1,42.62,6.8,0,0,11,1.0277348,-13.621917,69,1,1.1,0.9,27.25,0.19,0,0
11027,1,0,0,0,0,11,1.0193596,-9.594402,138,1,1.1,0.9,26.62,0.2,0,0
11028,1,0,0,0,0,11,1.0358851,-13.749288,69,1,1.1,0.9,27.16,0.06,0,0
11029,1,50.01,8.36,0,0,11,1.0191269,-9.622411,138,1,1.1,0.9,26.63,0.2,0,0
11030,1,0,0,0,0,11,1.0338368,-7.831472,345,1,1.1,0.9,26.39,0.12,0,0
11031,1,58.73,8.55,0,0,11,1.0248497,-9.819382,138,1,1.1,0.9,26.56,0.16,0,0
11032,1,0,0,0,0,11,1.0190151,-11.309048,24,1,1.1,0.9,26.69,0.17,0,0
11033,1,0,0,0,0,11,1.0190151,-11.309048,1,1,1.1,0.9,26.69,0.17,0,0
11034,1,0,0,0,0,11,1.0345364,-7.751599,345,1,1.1,0.9,26.36,0.12,0,0
11035,1,0,0,0,0,11,1.0338368,-7.831472,345,1,1.1,0.9,26.39,0.12,0,0
11036,1,22.83,4.5,0,40,11,1.0297764,-13.924803,69,1,1.1,0.9,27.55,-0.1,0,0
11037,1,0,0,0,40,11,1.0335145,-15.32318,69,1,1.1,0.9,27.71,-0.17,0,0
11038,1,37.56,16.05,0,0,11,1.0332637,-15.344291,69,1,1.1,0.9,27.72,-0.17,0,0
11039,1,48.46,5.17,0,0,11,1.0178119,-8.814059,138,1,1.1,0.9,26.53,0.21,0,0
11040,1,23.05,5.37,0,0,11,1.033529,-14.409894,69,1,1.1,0.9,27.23,0.09,0,0
11041,1,0,0,0,0,11,1.0188871,-12.658317,69,1,1.1,0.9,27.24,0.26,0,0
11042,1,29.46,2.65,0,0,11,1.0187891,-12.675247,69,1,1.1,0.9,27.24,0.26,0,0
11043,1,0.37,0.08,0,0,11,1.0039923,-13.380482,69,1,1.1,0.9,27.49,0.47,0,0
11044,1,0,0,0,0,11,1.0040642,-13.371028,69,1,1.1,0.9,27.49,0.47,0,0
11045,1,14.7,3.14,0,0,11,1.0039268,-13.389123,69,1,1.1,0.9,27.49,0.47,0,0
11046,1,0,0,0,0,11,1.0039923,-13.380482,69,1,1.1,0.9,27.49,0.47,0,0
11047,1,0,0,0,0,11,1.0372164,-12.741229,138,1,1.1,0.9,26.63,0.15,0,0
11048,1,58.78,13.1,0,0,11,1.0433782,-13.745594,69,1,1.1,0.9,26.67,0.14,0,0
11049,1,0,0,0,0,11,1.0373942,-12.737461,138,1,1.1,0.9,26.63,0.14,0,0
11050,1,0,0,0,0,11,1.0385034,-13.61601,69,1,1.1,0.9,26.72,0.21,0,0
