GEN_BUS,PG,QG,QMAX,QMIN,VG,MBASE,GEN_STATUS,PMAX,PMIN,PC1,PC2,QC1MIN,QC1MAX,QC2MIN,QC2MAX,RAMP_AGC,RAMP_10,RAMP_30,RAMP_Q,APF,MU_PMAX,MU_PMIN,MU_QMAX,MU_QMIN
11294,1.6,0.81,0.81,-0.18,1.0269,1.92,1,1.6,0.6,0,0,0,0,0,0,0,0,0,0,1.6,0,0,0,0
11297,0,0,1.35,-0.35,1.04,3.48,0,2.9,1.25,0,0,0,0,0,0,0,0,0,0,2.9,0,0,0,0
11299,1.03,0.52,0.52,-0.11,1.04,1.23,1,1.03,0.19,0,0,0,0,0,0,0,0,0,0,1.025,0,0,0,0
11299,1.03,0.52,0.52,-0.11,1.04,1.23,1,1.03,0.18,0,0,0,0,0,0,0,0,0,0,1.025,0,0,0,0
11299,1.03,0.52,0.52,-0.11,1.04,1.23,1,1.03,0.3,0,0,0,0,0,0,0,0,0,0,1.025,0,0,0,0
11299,1.03,0.52,0.52,-0.11,1.04,1.23,1,1.03,0.41,0,0,0,0,0,0,0,0,0,0,1.025,0,0,0,0
11299,1.1,0.56,0.56,-0.12,1.04,1.32,1,1.1,0.54,0,0,0,0,0,0,0,0,0,0,1.1,0,0,0,0
11299,1.1,0.56,0.56,-0.12,1.04,1.32,1,1.1,0.29,0,0,0,0,0,0,0,0,0,0,1.1,0,0,0,0
11299,1.1,0.56,0.56,-0.12,1.04,1.32,1,1.1,0.3,0,0,0,0,0,0,0,0,0,0,1.1,0,0,0,0
11302,0,0,0.5,-0.06,1.0344,1.56,0,1.3,0.58,0,0,0,0,0,0,0,0,0,0,1.3,0,0,0,0
11303,1.3,-0.06,0.5,-0.06,1.0343,1.56,1,1.3,0.42,0,0,0,0,0,0,0,0,0,0,1.3,0,0,0,0
11303,1.3,-0.06,0.5,-0.06,1.0343,1.56,1,1.3,0.23,0,0,0,0,0,0,0,0,0,0,1.3,0,0,0,0
11304,1.3,-0.06,0.5,-0.06,1.0343,1.56,1,1.3,0.42,0,0,0,0,0,0,0,0,0,0,1.3,0,0,0,0
11309,0,0,0.84,-0.22,1.0105,2.16,0,1.8,0.58,0,0,0,0,0,0,0,0,0,0,1.8,0,0,0,0
11309,0,0,0.84,-0.22,1.0105,2.16,0,1.8,0.56,0,0,0,0,0,0,0,0,0,0,1.8,0,0,0,0
11310,0,0,0.84,-0.22,1.0105,2.16,0,1.8,0.65,0,0,0,0,0,0,0,0,0,0,1.8,0,0,0,0
11311,0,0,0.84,-0.22,1.0105,2.16,0,1.8,0.58,0,0,0,0,0,0,0,0,0,0,1.8,0,0,0,0
11315,50.6,25.76,25.76,-5.62,1.006,60.72,1,50.6,16.87,0,0,0,0,0,0,0,0,0,0,50.6,0,0,0,0
11316,50.6,25.76,25.76,-5.62,1.007,60.72,1,50.6,20.09,0,0,0,0,0,0,0,0,0,0,50.6,0,0,0,0
11320,3.6,1.38,1.38,-0.18,1.0582,4.32,1,3.6,1.64,0,0,0,0,0,0,0,0,0,0,3.6,0,0,0,0
11320,3.6,1.38,1.38,-0.18,1.0582,4.32,1,3.6,1.38,0,0,0,0,0,0,0,0,0,0,3.6,0,0,0,0
11321,3.6,1.38,1.38,-0.18,1.0564,4.32,1,3.6,1.61,0,0,0,0,0,0,0,0,0,0,3.6,0,0,0,0
11321,0,0,1.38,-0.18,1.0564,4.32,0,3.6,1.08,0,0,0,0,0,0,0,0,0,0,3.6,0,0,0,0
11322,3.6,1.38,1.38,-0.18,1.059,4.32,1,3.6,1.63,0,0,0,0,0,0,0,0,0,0,3.6,0,0,0,0
11325,5.5,2.8,2.8,-0.61,1.0195,6.6,1,5.5,2.49,0,0,0,0,0,0,0,0,0,0,5.5,0,0,0,0
11326,5.5,2.8,2.8,-0.61,1.0195,6.6,1,5.5,1.41,0,0,0,0,0,0,0,0,0,0,5.5,0,0,0,0
11330,0,0,0.77,-0.1,1.0323,2.4,0,2,0.22,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
11332,0,0,0.84,-0.22,1.04,2.16,0,1.8,0.41,0,0,0,0,0,0,0,0,0,0,1.8,0,0,0,0
11332,0,0,0.84,-0.22,1.04,2.16,0,1.8,0.29,0,0,0,0,0,0,0,0,0,0,1.8,0,0,0,0
