MODEL,STARTUP,SHUTDOWN,NCOST,C2,C1,C0
2,0,0,3,0.002,20.91,602.4
2,0,0,3,0.003,29.231,236.08
2,0,0,3,0.002,19.201,601.54
2,0,0,3,0.002,21.227,601.54
2,0,0,3,0.002,20.394,601.54
2,0,0,3,0.002,18.293,601.54
2,0,0,3,0.002,18.482,601.65
2,0,0,3,0.002,19.613,601.65
2,0,0,3,0.002,18.354,601.65
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0.003,30.195,236.05
2,0,0,3,0.003,28.049,236.05
2,0,0,3,0.003,30.817,236.05
2,0,0,3,0.003,28.95,236.05
2,0,0,3,0.002,18.789,675.9
2,0,0,3,0.002,21.626,675.9
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0.002,21.076,608.25
2,0,0,3,0.001,17.271,608.25
2,0,0,3,0,0,0
2,0,0,3,0.003,27.794,236.05
2,0,0,3,0.004,34.353,236.05
2,0,0,3,0.003,30.007,236.05
2,0,0,3,0,0,0
2,0,0,3,0.003,27.636,236.08
2,0,0,3,0.003,28.775,236.08
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0.003,31.502,236.03
2,0,0,3,0.003,30.1,236.03
2,0,0,3,0.003,29.943,236.03
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,8,1000
2,0,0,3,0,8,1000
2,0,0,3,0,8,1000
2,0,0,3,0.002,20.493,895.5
2,0,0,3,0.002,20.343,895.5
2,0,0,3,0.002,19.888,895.5
2,0,0,3,0.002,20.616,895.5
2,0,0,3,0.002,20.347,895.5
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0.003,33.19,236.04
2,0,0,3,0.003,26.505,236.04
2,0,0,3,0.003,32.09,236.01
2,0,0,3,0.003,27.305,236.01
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0.003,32.175,236.08
2,0,0,3,0.003,23.954,236.08
2,0,0,3,0.002,21.809,862.5
2,0,0,3,0.002,21.12,681
2,0,0,3,0.001,17.245,681
2,0,0,3,0,8,1006.38
2,0,0,3,0,8,1006.38
2,0,0,3,0.002,18.291,860
2,0,0,3,0.002,22.403,860
2,0,0,3,0.002,20.413,860
2,0,0,3,0.002,19.233,774.6
2,0,0,3,0.002,20.492,774.6
2,0,0,3,0.002,20.743,774.6
2,0,0,3,0.002,20.047,774.6
2,0,0,3,0.002,18.386,774.6
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0.002,20.071,602.4
2,0,0,3,0.002,18.958,602.4
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0,0,0
2,0,0,3,0.003,27.073,236.05
2,0,0,3,0.003,30.976,236.05
2,0,0,3,0.003,30.035,236.05
